SplittableRandom.nextIntAlt1()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 309394a66f08ff31 | 0000000000100000000000000000000000000000000000000000000000000000  1 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.14459734...0.14459734 | 1*PASSED
 64c9d95c57e72bf5 | 0000000010000000000000000000000000000000000000000100000000000000  2 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.13579492...0.13579492 | 1*PASSED
  5b1845d01bafa0a | 0000000100010000000000000001000000000000000000000000000000000000  3 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.40287060...0.40287060 | 1*PASSED
 61e653de26fb237e | 0000100000000000010000000000000000100000000000000000000001000000  4 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.95722799...0.95722799 | 1*PASSED
 48cdcc1cfac731ba | 0000100010000000000100000000000000100000000000000000000000100000  5 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.98015095...0.98015095 | 1*PASSED
 8725389a2ab0fe8a | 0000000000000001000100000100000010000010000000000001000000000000  6 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.17810873...0.17810873 | 1*PASSED
 ca0ef8ec9e713cc4 | 0000100110000000000001000000000001000001000000001000000000000000  7 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.66260028...0.66260028 | 1*PASSED
 141d46e04c933346 | 0001001000000000010000100000001000001000000000000100000001000000  8 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.99696191...0.99696191 | 1*WEAK
 e64b6422300ac487 | 1000001000000000100000000001000000000000001000001000010000001100  9 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.61234881...0.61234881 | 1*PASSED
 bba3fa5bd2ddca36 | 0000000000100100001010000000000110100001000000000000000100000001 10 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.89913409...0.89913409 | 1*PASSED
 5dabefff34048879 | 1000001000000000000000001010000000100000010000101100010000001000 11 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.85687026...0.85687026 | 1*PASSED
 773978a7cc3d94c3 | 0000000000000011000001000000100000000100010000000010001100110010 12 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.58104284...0.58104284 | 1*PASSED
 af4a90ec248e7a4f | 0000000001001000011000000000100000001110010001101000001000000000 13 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.29530893...0.29530893 | 1*PASSED
 a0347c1e3aa6f2b5 | 0111000000000000000000011010000000000000000110100000010010010110 14 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.89260315...0.89260315 | 1*PASSED
 585fd43c2812eea7 | 0000000000100001000011000000010000010111000010001001001010000010 15 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.96890243...0.96890243 | 1*PASSED
 802ae42171859300 | 0110000000100010000100101100010100100000000101010100000010000000 16 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72450061...0.72450061 | 1*PASSED
 f975ae20d2052265 | 0000100100000111000010000001001100000100010010001000011100100000 17 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.48246925...0.48246925 | 1*PASSED
 b0207f74ba4e178d | 0011100000100000010001100000100000100010011001001101100000000010 18 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.68558973...0.68558973 | 1*PASSED
  71a4e82cff7e887 | 1100000010010011010000001110100000000100101001000101010010000000 19 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.72888689...0.72888689 | 1*PASSED
 40c61a916c3b4ca1 | 0100100000001000001010101101001100100000000100000111100001000101 20 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.63068727...0.63068727 | 1*PASSED
 51c858ce9af147fd | 1001111001000000001000000110100011010010010010011000010000010100 21 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.11016578...0.11016578 | 1*PASSED
 9371c5fcbadb1a0c | 0101000010101010001011010000001101011010010000100011010000100000 22 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.48834993...0.48834993 | 1*PASSED
 2aad05f5e693be64 | 1011000000001100011011100100010000001101000100001101010000110100 23 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.25121436...0.25121436 | 1*PASSED
 a52d50c927057bcf | 1100011001010010100100000010111101000000101011011000100001010000 24 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.59131175...0.59131175 | 1*PASSED
 3e98ffffd2f9e3d8 | 1101000100001001000000101010011110010001100000011100100111000101 25 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.36295512...0.36295512 | 1*PASSED
 d46344aee43c85ce | 0001010010111000101011110100010000010000110010111000001001110100 26 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.41690379...0.41690379 | 1*PASSED
 ad4f352cefadb258 | 0010111000110100010000010100001001110010001000100011100111011110 27 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.38964691...0.38964691 | 1*PASSED
