SplittableRandom.nextInt()

------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
             seed |                                                            gamma 1s | Tid |            test name |    ntup | tsamples | psamples |                  pvalue | assessment(s)
------------------|---------------------------------------------------------------------|-----|----------------------|---------|----------|----------|-------------------------|--------------
 6de84d1f2756290c | 0000000000000000000000000000000000000000000000001000000000000000  1 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 2494e6e75b85a379 | 0000010000000000000000000000000000000000000000000000000010000000  2 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
  fb485abad402901 | 0000000001000000000000000000000101000000000000000000000000000000  3 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 a9de710ce1c5c6bf | 0010010000001000000000000010000000000000000000000000000000000000  4 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.00000000...0.00000000 | 1*FAILED
 ade1a032f69ef8a7 | 0000010000000100000000000000000000011000000100000000000000000000  5 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.04871913...0.04871913 | 1*PASSED
 630368b16aa40f7e | 0000000010000000000000000001000000100000000010100000000001000000  6 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.40607560...0.40607560 | 1*PASSED
 3087fdb2f2f06379 | 1000000000000000010010100000000000000000100010000000000001000000  7 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.41992769...0.41992769 | 1*PASSED
 45652607694027cf | 0000000000100000000000100000100100001000000100000000010010000000  8 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.71190421...0.71190421 | 1*PASSED
 91e887d22c3eb8f9 | 1000001000000000010000000000000000100000000101000011001000000000  9 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.53592905...0.53592905 | 1*PASSED
 a7aaf33868ecd1ae | 0000000001000000010100000010000000000010010000000000001001110000 10 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.34127029...0.34127029 | 1*PASSED
 83246d0a98ddbf0a | 0010000000000000011000000011000000000100010000001000010010100000 11 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.34820780...0.34820780 | 1*PASSED
 22150dd2e97e0fc7 | 0011101011000000000000000000100000000000110001000000000010010000 12 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.61639930...0.61639930 | 1*PASSED
 40cab8cf3c759b9e | 0000001000011010000101000000000000000001000000101100011000000010 13 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.81692583...0.81692583 | 1*PASSED
 a847e425e2348efa | 0000111011000010100000001000000010001010000000100000000110000000 14 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.01787035...0.01787035 | 1*PASSED
 a11b24dc729e5551 | 0000010101010100001100000101000000100100100000011001000000000000 15 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.84782019...0.84782019 | 1*PASSED
 cf8c1213ad20c005 | 1000011100010000000110000001000000000111000001001000000000101001 16 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.90032643...0.90032643 | 1*PASSED
 b435064a904b9fcf | 1010000000000001001010100010000010000001001010000011010110000001 17 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.99990873...0.99990873 | 1*WEAK
 733330185c3a97be | 1100110000001100110000001110001001000000000110001000000000100010 18 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.98454000...0.98454000 | 1*PASSED
 88db3028e599ec11 | 1100000100100000001000100100000011000010111101100000010100000010 19 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.97168913...0.97168913 | 1*PASSED
 eb2029f7bc8323ec | 0110100100010000100001001000010000100100100001000001111010000011 20 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.76623877...0.76623877 | 1*PASSED
 77b98d9886e39db9 | 0110001000001010000010011000011110000101100010100000000101010100 21 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.19783187...0.19783187 | 1*PASSED
 e6c3da205ef5a0ce | 0100100010100010100001000000110001000011000101000001111100111000 22 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.79257427...0.79257427 | 1*PASSED
 a7e1fb814c8ae1b6 | 0000000011010011101100010010000100110010000110010010100001001101 23 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.82504708...0.82504708 | 1*PASSED
 feb60f1b70aedad2 | 0010001110011101100000001101000000010000110111011000011101000000 24 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.94398508...0.94398508 | 1*PASSED
 56b1260dfc3f5470 | 0100110100000101010100010000100101000001001000110011101101110010 25 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.48146699...0.48146699 | 1*PASSED
 ff6fa5608331039f | 0011000101011011001000101100000100010000101101011001010111000010 26 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.15615629...0.15615629 | 1*PASSED
 d1b44ca774c078bf | 0001001010010100101100001100000111101011011010000011000011101001 27 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.83776243...0.83776243 | 1*PASSED
 8c88ad25755ebea9 | 0011010000000001001000111010011101111110110010010000110101001001 28 |   0 |    diehard_birthdays |  0... 0 |      100 |      100 | 0.11649177...0.11649177 | 1*PASSED
